Distancias completas para consulta 15
rank,train_index,label,distance
1,2414,2,6.19735289
2,419,2,6.72753334
3,4829,2,6.91123390
4,748,2,7.08788490
5,1125,2,7.21705675
6,4668,2,7.49604416
7,3470,2,7.52489853
8,631,2,7.71552372
9,3181,2,7.73754835
10,3662,2,7.74080801
11,608,2,7.74465132
12,3854,2,7.77886629
13,1551,2,7.80388212
14,644,2,7.95475674
15,1506,2,7.96732283
16,3005,2,7.98703480
17,4777,2,8.00746155
18,1634,2,8.04586697
19,1063,2,8.09325886
20,461,2,8.12589073
21,4767,2,8.22337055
22,3602,2,8.23770618
23,1722,2,8.26832104
24,3334,2,8.27896786
25,59,2,8.28190041
26,2113,2,8.28852177
27,2281,2,8.28944683
28,4426,2,8.30028152
29,541,2,8.30469608
30,2330,2,8.35793400
31,879,2,8.35888577
32,839,2,8.37548256
33,2126,2,8.41465473
34,2033,2,8.42659569
35,4208,2,8.46143627
36,2165,2,8.46307087
37,4391,2,8.46504879
38,275,2,8.47081089
39,17,2,8.47134495
40,186,2,8.47814369
41,304,2,8.49891472
42,3877,2,8.50022030
43,554,2,8.52867699
44,4142,2,8.53960037
45,1244,2,8.54227448
46,4175,2,8.55747318
47,1725,2,8.55946732
48,3222,2,8.57110500
49,247,2,8.66973400
50,1675,2,8.68039894
51,2665,2,8.68070030
52,1310,2,8.69141293
53,2694,2,8.69378185
54,4489,2,8.69427967
55,4060,2,8.69488335
56,3298,2,8.69622517
57,1356,2,8.74537945
58,3157,2,8.75879288
59,3392,2,8.76107979
60,940,2,8.76782894
61,4450,6,8.76809025
62,4920,2,8.77446556
63,3636,6,8.77535820
64,2179,2,8.79195786
65,806,2,8.79535198
66,55,2,8.80369377
67,2284,2,8.81193733
68,1747,2,8.82717228
69,4746,6,8.83134747
70,446,6,8.83213520
71,1995,2,8.86346340
72,460,2,8.86624908
73,4313,2,8.87034035
74,3374,2,8.87052441
75,3702,2,8.90342522
76,4158,2,8.90368938
77,4472,2,8.91880608
78,3657,2,8.92655182
79,3226,2,8.92917919
80,1739,2,8.95356083
81,2140,2,8.95447731
82,2008,2,8.96221066
83,4068,2,8.96390152
84,3189,2,8.97343159
85,4973,2,8.99642277
86,4556,6,8.99982548
87,2793,2,9.00405216
88,697,2,9.01078796
89,1597,2,9.01507282
90,2401,2,9.01530552
91,2867,2,9.01878357
92,3012,2,9.01966572
93,851,6,9.03106689
94,369,2,9.03639030
95,641,0,9.04197407
96,605,2,9.04272461
97,2781,6,9.04302406
98,384,2,9.04378414
99,4377,6,9.04563999
100,2340,2,9.04822636
101,2658,2,9.05185509
102,3360,2,9.05332375
103,4638,2,9.05675125
104,807,2,9.05924797
105,2059,2,9.05941868
106,4258,6,9.06038857
107,3411,2,9.06215954
108,488,6,9.06371498
109,182,6,9.06427956
110,1690,2,9.06535721
111,53,2,9.06538773
112,4008,6,9.06940460
113,4952,6,9.07502270
114,3839,6,9.07638168
115,754,3,9.07757378
116,3908,6,9.08484936
117,1520,2,9.09307671
118,3600,2,9.09484196
119,1025,2,9.09532166
120,4216,2,9.09827709
121,1176,6,9.10079384
122,2333,2,9.10171890
123,559,6,9.12114525
124,3551,2,9.12265587
125,4126,6,9.12278557
126,1424,2,9.13539886
127,3225,6,9.14030743
128,1650,6,9.14204025
129,2748,2,9.14538193
130,3210,0,9.14724922
131,160,2,9.14796066
132,2491,2,9.15382481
133,1464,6,9.15417099
134,136,2,9.15585423
135,1226,2,9.15724659
136,3101,6,9.15760517
137,1023,2,9.15909386
138,4980,6,9.15951157
139,4413,6,9.16706467
