Distancias completas para consulta 18
rank,train_index,label,distance
1,4783,7,4.09095335
2,4960,7,4.25076532
3,1678,7,5.09317160
4,4058,7,5.10746193
5,2191,7,5.34837532
6,2607,7,5.45041037
7,4582,7,5.48387575
8,1950,7,5.52436972
9,486,7,5.64428139
10,1312,7,5.64723301
11,2565,7,5.68935442
12,2317,7,5.70152235
13,4026,7,5.74834299
14,58,7,5.80696154
15,2780,7,5.84317160
16,801,7,5.84554243
17,4597,9,5.87870884
18,197,9,5.91995573
19,4845,7,5.93950796
20,2667,7,5.94770861
21,2576,7,5.96044397
22,3110,7,5.98493671
23,3056,7,6.05526161
24,1460,7,6.06341982
25,4129,7,6.06456470
26,82,9,6.07824659
27,3770,7,6.09478521
28,4646,7,6.09910345
29,3144,7,6.10538244
30,1726,7,6.13393497
31,3159,7,6.14481783
32,816,7,6.14670229
33,2591,7,6.14787912
34,531,7,6.14973116
35,1756,7,6.15107107
36,3898,7,6.15552759
37,4738,7,6.23627806
38,3215,7,6.33966875
39,4657,9,6.34831142
40,75,7,6.34877872
41,3418,7,6.35479069
42,670,7,6.37325001
43,3498,9,6.38669205
44,3384,7,6.40896463
45,2311,7,6.42439985
46,2109,7,6.43141413
47,785,9,6.43963575
48,3427,9,6.43981218
49,1336,4,6.44825029
50,163,4,6.45161200
51,3458,7,6.46602488
52,4048,9,6.48422909
53,1045,7,6.49868393
54,4123,7,6.51315403
55,4651,7,6.51664639
56,3432,7,6.54050303
57,196,9,6.55286407
58,1750,9,6.57459021
59,3200,7,6.58340883
60,3389,4,6.60132456
61,3759,7,6.61445427
62,3033,7,6.63549232
63,926,7,6.67031527
64,2874,7,6.67213869
65,861,7,6.67493629
66,4963,7,6.68149042
67,328,9,6.68319178
68,169,9,6.68421364
69,1742,7,6.68910456
70,493,9,6.69290924
71,1462,9,6.69872904
72,3029,9,6.71798038
73,1332,9,6.71859264
74,4979,7,6.72834110
75,3588,4,6.72902298
76,538,9,6.72904730
77,4961,7,6.73207712
78,3236,4,6.74557924
79,2641,7,6.74861193
80,1475,7,6.75040150
81,157,7,6.76111937
82,3599,7,6.78855038
83,250,7,6.80137205
84,3499,7,6.81426811
85,4273,7,6.81461334
86,1513,4,6.82277775
87,750,7,6.82609940
88,844,4,6.82618380
89,1473,4,6.83081293
90,2982,9,6.83529615
91,597,7,6.85165834
92,3525,9,6.85410309
93,1187,9,6.86025286
94,4569,9,6.86242914
95,2614,7,6.86731434
96,978,4,6.87262964
97,913,7,6.87347603
98,2047,7,6.87412310
99,4329,4,6.87837315
100,2979,9,6.87961149
101,4203,7,6.88716221
102,2469,9,6.89148235
103,1855,7,6.89621878
104,452,7,6.90235376
105,4091,9,6.90263033
106,1232,4,6.90969515
107,3500,7,6.91236734
108,2613,7,6.92469788
109,1570,7,6.92687464
110,4671,7,6.92803812
111,2883,7,6.93688154
112,2456,7,6.94419909
113,4747,7,6.94693708
114,3748,7,6.94740295
115,4285,7,6.94772816
116,4555,7,6.94825459
117,3316,7,6.95788860
118,3891,7,6.96631575
119,4607,7,6.96833611
120,2488,9,6.97086048
121,3905,9,6.97639227
122,1337,7,6.99807835
123,1658,9,6.99861670
124,669,7,7.01262331
125,1904,9,7.01856518
126,213,9,7.03819656
127,1322,7,7.03866529
128,1338,7,7.04075480
129,2761,7,7.04488468
130,479,7,7.04900980
131,2243,7,7.06285715
132,2582,7,7.06474495
133,3305,7,7.06795931
134,1160,9,7.08241844
135,2882,9,7.08280230
136,3218,4,7.09216976
137,45,7,7.09691477
138,3240,7,7.09930134
139,529,9,7.10347843
140,613,9,7.10919762
141,2765,9,7.11356115
142,1432,9,7.12493992
143,1499,7,7.13456964
144,4462,7,7.14025068
145,1221,9,7.14334917
146,3104,7,7.14624834
147,3175,9,7.15327024
148,1260,7,7.15927362
149,1088,7,7.15933895
150,677,9,7.15959358
