Distancias completas para consulta 8
rank,train_index,label,distance
1,2673,7,6.11351442
2,871,7,6.14314222
3,4363,7,6.25222635
4,20,7,6.25837517
5,4819,7,6.41976357
6,1841,7,6.72879028
7,901,7,6.85385990
8,4892,2,6.87047625
9,3305,7,6.91814804
10,374,7,6.96963596
11,3620,7,6.98918819
12,3245,9,7.06979990
13,744,9,7.11295843
14,3938,7,7.12084389
15,2896,7,7.12145853
16,4209,7,7.13508272
17,2958,4,7.17038202
18,1769,7,7.17669344
19,3460,7,7.20760202
20,3019,7,7.22610378
21,2925,7,7.22814369
22,2833,7,7.22827959
23,4510,7,7.23371363
24,438,2,7.24148130
25,3476,7,7.24639845
26,595,7,7.25132942
27,2659,4,7.26701784
28,4826,4,7.28831530
29,3432,7,7.29067802
30,977,4,7.34533358
31,3128,7,7.35446072
32,4264,7,7.36190557
33,3685,2,7.36226416
34,1986,7,7.36859274
35,1302,9,7.38835096
36,4907,2,7.40396309
37,4388,4,7.41412258
38,4039,7,7.42234516
39,2984,7,7.43247128
40,2560,7,7.43647814
41,2904,7,7.44467545
42,109,9,7.45094204
43,4149,4,7.45326519
44,519,7,7.45675755
45,171,7,7.45850515
46,3201,7,7.47875023
47,4170,7,7.48637199
48,533,7,7.51667309
49,4503,9,7.54940271
50,3205,7,7.56054115
51,2418,7,7.56499863
52,4094,7,7.57744884
53,4188,4,7.58014202
54,3869,9,7.58154631
55,362,4,7.58515310
56,4268,2,7.58678246
57,4135,7,7.58736467
58,1211,7,7.60205269
59,4588,7,7.60748339
60,3733,7,7.60956383
61,263,7,7.62195969
62,409,7,7.62336302
63,869,4,7.63695669
64,149,9,7.63858128
65,2702,7,7.65987301
66,4555,7,7.66374636
67,4030,9,7.68372726
68,2942,7,7.68642282
69,325,9,7.69310904
70,2449,9,7.70424652
71,3031,9,7.71008396
72,0,7,7.72399235
73,3998,9,7.72406769
74,125,7,7.73855686
75,3769,3,7.73896980
76,2582,7,7.74519348
77,3362,7,7.75166559
78,4963,7,7.75324869
79,3316,7,7.77199602
80,2025,2,7.77265692
81,36,7,7.77572107
82,1698,9,7.77703714
83,1395,3,7.78140640
84,35,2,7.80986691
85,3453,7,7.81186152
86,1632,7,7.82098770
87,415,7,7.82583809
88,2607,7,7.82816887
89,612,2,7.84509277
90,3424,4,7.84713459
91,329,7,7.85002041
92,107,7,7.85058498
93,1451,4,7.85336018
94,1157,7,7.86192083
95,3441,7,7.86394215
96,2637,9,7.86482096
97,4243,7,7.86712503
98,4747,7,7.87142086
99,4926,7,7.87276459
100,806,2,7.89247894
101,3243,7,7.89923668
102,1613,7,7.90452051
103,1059,9,7.90763330
104,2655,9,7.91101408
105,4691,9,7.91265774
106,95,3,7.91281605
107,1006,7,7.91440487
108,2755,3,7.91449308
109,1322,7,7.92465830
110,4225,8,7.92510223
111,212,9,7.92666101
112,3709,7,7.93270397
113,1894,7,7.93609142
114,3956,7,7.95676422
115,4599,7,7.96084785
116,2094,7,7.96147966
117,4923,7,7.96578741
118,3471,7,7.96989250
119,4306,9,7.97489119
120,2019,7,7.97508907
121,3022,9,7.98750496
122,4142,2,7.98837280
123,1771,4,8.01441193
124,3291,9,8.01670361
125,4347,2,8.01864910
126,1,9,8.03321457
127,3456,7,8.03631115
128,3741,9,8.04219723
129,2205,7,8.04858112
130,1197,7,8.06574059
131,2,2,8.06611443
132,1088,7,8.06892586
133,2812,7,8.09909821
134,3532,4,8.10111141
135,84,4,8.10908985
136,250,7,8.11246204
137,889,2,8.11627960
138,2330,2,8.11693287
139,3370,7,8.11841297
140,4593,9,8.12222862
141,1896,7,8.12465191
142,72,7,8.13064384
143,2968,9,8.13236904
144,3495,7,8.13691425
145,2042,7,8.13943672
146,783,4,8.14315128
147,1747,2,8.14569569
148,4755,9,8.14768314
149,3009,4,8.15194988
150,2644,9,8.15328217
151,1029,9,8.15457726
152,546,7,8.15585613
153,3935,9,8.15797901
154,1288,7,8.16032314
155,3734,9,8.16422558
156,4795,7,8.16696739
157,647,4,8.16703415
158,2567,7,8.16728878
159,467,7,8.16962337
160,2096,4,8.17129135
161,4175,2,8.17144871
162,1244,2,8.18773079
163,3422,2,8.19534302
164,3910,7,8.19652081
165,146,9,8.20030499
166,2416,9,8.20255375
167,452,7,8.20564461
168,3947,4,8.21229458
169,3781,9,8.21361160
170,3510,9,8.21607208
171,4710,9,8.21619987
172,2360,9,8.22088814
173,4565,2,8.22768497
174,4655,9,8.23819637
175,3374,2,8.23932934
176,1008,9,8.24539948
177,1806,9,8.24853230
178,2892,8,8.25438404
179,3599,7,8.25560665
180,3300,9,8.25747871
181,2488,9,8.25770092
182,3748,7,8.26479340
183,2059,2,8.26831627
184,242,7,8.26893902
185,388,7,8.27067089
186,4867,7,8.27207565
187,2001,9,8.27499199
188,1511,7,8.27725506
189,2688,7,8.27728844
190,206,9,8.27754879
191,1148,7,8.27862358
192,1683,9,8.27877712
193,421,4,8.28869724
194,2613,7,8.28972530
195,4265,7,8.29723454
196,2995,7,8.29816914
197,669,7,8.30049610
198,3282,7,8.30241299
199,4661,9,8.30275154
200,1917,7,8.30480003
201,2668,3,8.31018734
202,4257,4,8.31187534
203,2531,7,8.31215668
204,1749,9,8.31413174
205,3350,9,8.31489468
206,66,1,8.31782627
207,3727,9,8.31931305
208,1886,7,8.32319069
209,479,7,8.32440281
210,1729,8,8.32913399
211,2966,9,8.32916451
212,1664,9,8.32934952
213,394,7,8.33629322
214,3776,7,8.33712959
215,2867,2,8.33881187
216,2797,4,8.33895016
217,4044,9,8.34196758
218,1570,7,8.34275723
219,2596,7,8.34295750
220,620,7,8.34641171
221,1763,4,8.34901619
222,58,7,8.35195255
223,3182,8,8.35604572
224,4303,4,8.35789680
225,3533,4,8.36241627
226,186,2,8.36729145
227,3418,7,8.36961746
228,3922,4,8.36970520
229,1713,7,8.37195492
230,1146,2,8.37211704
231,4671,7,8.38042068
232,3356,4,8.38157558
233,758,4,8.38251305
234,4281,7,8.38381386
235,4404,4,8.38422871
236,61,7,8.38657570
237,1354,3,8.39486504
238,1890,4,8.39537334
239,2191,7,8.40163708
240,4203,7,8.40389156
241,3916,4,8.40397072
242,1873,8,8.40444946
243,5,9,8.40779686
244,1429,8,8.40909958
245,4095,9,8.41241169
246,861,7,8.41336632
247,2949,7,8.41612339
248,3423,7,8.41732311
249,4447,8,8.41887474
250,1196,9,8.42055798
251,3581,2,8.42086124
252,3224,8,8.42390251
253,4392,4,8.42487621
254,1106,7,8.42565155
255,2761,7,8.42573738
256,1552,9,8.43518353
257,4741,3,8.43666553
258,1517,8,8.43771935
259,2863,9,8.43804932
260,2552,2,8.44245052
261,1743,7,8.44732571
262,3337,2,8.45102310
263,2009,2,8.45889759
264,2392,9,8.46059895
265,610,7,8.46250820
266,2162,9,8.46689701
267,1300,7,8.46781254
268,2194,4,8.46784592
269,2591,7,8.47351742
270,1031,7,8.47442341
271,2546,7,8.48017311
272,1506,2,8.48241043
273,157,7,8.48321342
274,3328,9,8.48351574
275,4718,7,8.48376846
276,2411,7,8.48508930
277,588,9,8.48666096
278,4969,9,8.48772526
279,4515,7,8.48849297
280,2705,4,8.49192047
281,4520,4,8.49720097
282,1823,2,8.50034428
283,3121,4,8.50360775
284,2850,9,8.50898743
285,1131,2,8.50970554
286,2279,4,8.51074696
287,2332,9,8.51273632
288,833,9,8.51437473
289,3029,9,8.51567936
290,4133,7,8.51968575
291,1858,2,8.52113247
292,924,7,8.52246761
293,91,7,8.52863312
294,1338,7,8.53128338
295,3705,8,8.53167439
296,29,4,8.53807449
297,3137,8,8.53862762
298,4370,8,8.54185772
299,586,4,8.55204964
300,2491,2,8.55466652
301,599,9,8.55802441
302,3557,4,8.55835533
303,927,7,8.55892849
304,1876,7,8.55965137
305,3502,9,8.56020641
306,293,7,8.56099892
307,4653,4,8.56352520
308,987,9,8.56434631
