Distancias completas para consulta 3
rank,train_index,label,distance
1,1698,9,2.98059058
2,4030,9,3.69431949
3,3998,9,3.78551030
4,3350,9,3.92741728
5,4691,9,3.98644757
6,4710,9,4.11800003
7,3300,9,4.13234186
8,3781,9,4.15738249
9,4306,9,4.26983547
10,3617,9,4.41608858
11,2966,9,4.43817472
12,1029,9,4.71136808
13,1290,9,4.75905752
14,4795,7,4.79778433
15,323,9,4.82612085
16,1269,9,4.82854986
17,2416,9,4.85521221
18,1664,9,4.86518288
19,3245,9,4.87805796
20,2162,9,4.93102121
21,4593,9,4.98621702
22,595,7,4.98635292
23,3935,9,5.04172993
24,3922,4,5.15531635
25,278,4,5.16551113
26,2492,9,5.23986578
27,2833,7,5.25067568
28,4384,9,5.25382948
29,1302,9,5.29947186
30,62,9,5.31001520
31,833,9,5.34238386
32,2001,9,5.40138817
33,1612,4,5.46767235
34,3084,9,5.47338772
35,2564,9,5.47724390
36,2355,9,5.49912310
37,4002,9,5.54216576
38,1896,7,5.54820490
39,1,9,5.56638050
40,149,9,5.59292269
41,3031,9,5.60229015
42,3291,9,5.61941385
43,2289,4,5.66346455
44,3441,7,5.67034435
45,4044,9,5.68724012
46,586,4,5.69060135
47,2332,9,5.70959806
48,2107,9,5.70999908
49,3135,9,5.71453714
50,4520,4,5.79427147
51,4223,9,5.79905367
52,3205,7,5.80566216
53,3510,9,5.82117748
54,173,9,5.86971474
55,901,7,5.91898632
56,414,9,5.92348242
57,4588,7,5.93219519
58,2680,9,5.93383074
59,2096,4,5.93903160
60,2722,9,5.94335222
61,4121,9,5.94863844
62,2183,7,5.95231628
63,2279,4,5.96693039
64,744,9,5.98620605
65,3938,7,5.99834442
66,987,9,5.99947691
67,2099,9,6.03856230
68,3453,7,6.04310417
69,3734,9,6.04455471
70,3328,9,6.05427122
71,1609,9,6.06754637
72,2736,4,6.07549858
73,3201,7,6.07787752
74,2904,7,6.09484720
75,1917,7,6.10236931
76,4868,9,6.12770319
77,888,9,6.13093090
78,3022,9,6.13178492
79,3916,4,6.13296843
80,1052,4,6.14582968
81,3894,9,6.14999437
82,4419,4,6.15411329
83,4811,9,6.16629887
84,2995,7,6.17507601
85,2408,4,6.17770147
86,4969,9,6.17862749
87,2468,9,6.19165373
88,1354,3,6.20011663
89,1361,9,6.21923828
90,2754,9,6.22620773
91,107,7,6.23862171
92,2702,7,6.24535036
93,2458,4,6.25524998
94,474,9,6.27617979
95,933,9,6.30460930
96,2449,9,6.30874586
97,5,9,6.31889343
98,431,9,6.32839632
99,1157,7,6.33400822
100,1517,8,6.33805466
101,2560,7,6.34293604
102,399,9,6.34431744
103,1221,9,6.34730482
104,999,9,6.34822750
105,4782,9,6.35148001
106,319,9,6.36097860
107,3305,7,6.36815643
108,4755,9,6.38455343
109,3748,7,6.39167452
110,4176,9,6.40327215
111,259,4,6.40847445
112,1713,7,6.41430712
113,3191,4,6.41549683
114,288,7,6.42343998
115,3886,4,6.42415905
116,394,7,6.42691994
117,2168,9,6.42904329
118,4363,7,6.43389511
119,4598,8,6.43566942
120,3727,9,6.44403124
121,3356,4,6.44734478
122,3062,9,6.45643139
123,3154,9,6.46546221
124,4963,7,6.46584034
125,2659,4,6.47444248
126,533,7,6.47995758
127,519,7,6.48193550
128,2892,8,6.48642874
129,4765,9,6.48913765
130,2705,4,6.49132729
131,4599,7,6.50485849
132,1613,7,6.51529312
133,3483,9,6.51724720
134,3565,4,6.52286196
135,2490,4,6.52339840
136,213,9,6.53676939
137,2936,7,6.54608011
138,4926,7,6.54656506
139,2133,9,6.55142164
140,3932,4,6.55540133
141,4661,9,6.56515551
142,840,9,6.57101965
143,2984,7,6.57198954
144,2803,9,6.57945538
145,3476,7,6.57993507
146,4562,9,6.58067942
147,1323,3,6.58636570
148,4225,8,6.59580564
149,171,7,6.60160875
150,2360,9,6.60432243
151,2637,9,6.60622311
152,330,4,6.60679102
153,1608,9,6.61010981
154,2158,9,6.62246704
